name	taxonomy_id	taxonomy_lvl	14_family.bracken_num	14_family.bracken_frac	17_family.bracken_num	17_family.bracken_frac	19_family.bracken_num	19_family.bracken_frac	20_family.bracken_num	20_family.bracken_frac	2126_family.bracken_num	2126_family.bracken_frac	22a_family.bracken_num	22a_family.bracken_frac	22b_family.bracken_num	22b_family.bracken_frac	25_family.bracken_num	25_family.bracken_frac	2621_family.bracken_num	2621_family.bracken_frac	27_family.bracken_num	27_family.bracken_frac	Stan_family.bracken_num	Stan_family.bracken_frac
Rhodobiaceae	119043	F	172	0.00001	1044	0.00005	309	0.00001	352	0.00001	103	0.00001	121	0.00001	279	0.00001	158	0.00001	445	0.00003	295	0.00002	167	0.00002
Lichenihabitantaceae	2723775	F	29	0.00000	247	0.00001	105	0.00000	192	0.00001	16	0.00000	21	0.00000	49	0.00000	165	0.00001	141	0.00001	65	0.00001	62	0.00001
Rhodobacteraceae	31989	F	8196	0.00033	43653	0.00201	14090	0.00066	19262	0.00056	4484	0.00051	3599	0.00042	8466	0.00041	6058	0.00041	15038	0.00102	10051	0.00078	6546	0.00064
Hyphomonadaceae	69657	F	425	0.00002	2166	0.00010	658	0.00003	1276	0.00004	303	0.00003	260	0.00003	590	0.00003	410	0.00003	935	0.00006	493	0.00004	438	0.00004
Sphingomonadaceae	41297	F	5751	0.00023	31484	0.00145	9877	0.00046	12611	0.00037	3899	0.00044	2660	0.00031	6752	0.00033	4465	0.00030	10927	0.00074	7772	0.00060	4803	0.00047
Erythrobacteraceae	335929	F	1275	0.00005	7828	0.00036	2588	0.00012	3438	0.00010	868	0.00010	650	0.00008	1555	0.00008	965	0.00006	2722	0.00018	1721	0.00013	1218	0.00012
Acetobacteraceae	433	F	3011	0.00012	12983	0.00060	4138	0.00019	5327	0.00016	1670	0.00019	1295	0.00015	3077	0.00015	2303	0.00015	4938	0.00033	3184	0.00025	2285	0.00023
Rhodospirillaceae	41295	F	3031	0.00012	19158	0.00088	5799	0.00027	7445	0.00022	1939	0.00022	1223	0.00014	3217	0.00016	2151	0.00014	5818	0.00039	4208	0.00033	2449	0.00024
Anaplasmataceae	942	F	816	0.00003	1729	0.00008	363	0.00002	911	0.00003	227	0.00003	313	0.00004	660	0.00003	426	0.00003	744	0.00005	536	0.00004	453	0.00004
Rickettsiaceae	775	F	635	0.00003	1359	0.00006	496	0.00002	1125	0.00003	532	0.00006	292	0.00003	734	0.00004	598	0.00004	575	0.00004	708	0.00005	407	0.00004
